"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"96","CPOM",NA,NA,NA,NA,NA,"Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","exact","exact",3,"observed","10,35"
"97","CPOM",NA,NA,NA,NA,NA,"Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","exact","genus",1,"observed","10,35"
"98","CPOM",NA,NA,NA,NA,NA,"Amphinemoura sulcicollis","Insecta","Plecoptera","Nemouridae","Amphinemoura","sulcicollis","exact","family",3,"observed","10,35"
"99","CPOM",NA,NA,NA,NA,NA,"Limnius volckmari","Insecta","Coleoptera","Elmidae","Limnius","volckmari","exact","exact",4,"observed","10,35"
"100","CPOM",NA,NA,NA,NA,NA,"Caenis rivulorum","Insecta","Ephemeroptera","Caenidae","Caenis","rivulorum","exact","exact",1,"observed","10,35"
"103","CPOM",NA,NA,NA,NA,NA,"Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","genus",6,"observed","10,35"
"104","CPOM",NA,NA,NA,NA,NA,"Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","exact","exact",8,"observed","10,35"
"105","CPOM",NA,NA,NA,NA,NA,"Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","exact","genus",6,"observed","10,35"
"108","FPOM",NA,NA,NA,NA,NA,"Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","exact","genus",1,"observed","10,35"
"109","FPOM",NA,NA,NA,NA,NA,"Hydroptila","Insecta","Trichoptera","Hydroptilidae","Hydroptila","","exact","exact",1,"observed","10,35"
"110","FPOM",NA,NA,NA,NA,NA,"Tinodes dives","Insecta","Trichoptera","Psychomyiidae","Tinodes","dives","exact","genus",7,"observed","10,35"
"111","FPOM",NA,NA,NA,NA,NA,"Ephemera danica","Insecta","Ephemeroptera","Ephemeridae","Ephemera","danica","exact","exact",6,"observed","10,35"
"112","FPOM",NA,NA,NA,NA,NA,"Heptagenia lateralis","Insecta","Ephemeroptera","Heptageniidae","Heptagenia","lateralis","exact","genus",1,"observed","10,35"
"113","FPOM",NA,NA,NA,NA,NA,"Hydraena gracilis","Insecta","Coleoptera","Hydraenidae","Hydraena","gracilis","exact","exact",1,"observed","10,35"
"114","FPOM",NA,NA,NA,NA,NA,"Asellus aquaticus","Crustacea","Isopoda","Asellidae","Asellus","aquaticus","exact","exact",7,"observed","10,35"
"117","FPOM",NA,NA,NA,NA,NA,"Psychomyia pusilla","Insecta","Trichoptera","Psychomyiidae","Psychomyia","pusilla","exact","family",9,"observed","10,35"
"118","FPOM",NA,NA,NA,NA,NA,"Ceratopogonidae","Insecta","Diptera","Ceratopogonidae","","","exact","exact",1,"observed","10,35"
"121","FPOM",NA,NA,NA,NA,NA,"Prosimulium","Insecta","Diptera","Simuliidae","Prosimulium","","exact","exact",1,"observed","10,35"
"123","FPOM",NA,NA,NA,NA,NA,"Hydropsyche angustipennis","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","angustipennis","exact","genus",7,"observed","10,35"
"124","FPOM",NA,NA,NA,NA,NA,"Agapetus fuscipes","Insecta","Trichoptera","Glossosomatidae","Agapetus","fuscipes","exact","exact",1,"observed","10,35"
"127","FPOM",NA,NA,NA,NA,NA,"Theodoxus fluviatalis","Gastropoda",NA,"Neritidae","Theodoxus","","exact","genus",2,"observed","10,35"
"128","FPOM",NA,NA,NA,NA,NA,"Tubificidae","Oligochaeta","Haplotaxida","Tubificidae","","","exact","exact",8,"observed","10,35"
"129","FPOM",NA,NA,NA,NA,NA,"Paraleptophlebia","Insecta","Ephemeroptera","Leptophlebidae","Paraleptophlebia","","exact","genus",1,"observed","10,35"
