"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"65","Asellus aquaticus","Crustacea","Isopoda","Asellidae","Asellus","aquaticus","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"69","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"70","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"71","CPOM",NA,NA,NA,NA,NA,"Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"73","CPOM",NA,NA,NA,NA,NA,"Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"75","CPOM",NA,NA,NA,NA,NA,"Psychomyia pusilla","Insecta","Trichoptera","Psychomyiidae","Psychomyia","pusilla","exact","family",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"76","CPOM",NA,NA,NA,NA,NA,"Heptagenia sulphurea","Insecta","Ephemeroptera","Heptageniidae","Heptagenia","sulphurea","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"77","CPOM",NA,NA,NA,NA,NA,"Asellus aquaticus","Crustacea","Isopoda","Asellidae","Asellus","aquaticus","exact","exact",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"78","CPOM",NA,NA,NA,NA,NA,"Theodoxus fluviatalis","Gastropoda",NA,"Neritidae","Theodoxus","","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"79","CPOM",NA,NA,NA,NA,NA,"Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","exact","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"80","CPOM",NA,NA,NA,NA,NA,"Brachyptera risi","Insecta","Plecoptera","Taniopterygidae","Brachyptera","risi","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"81","CPOM",NA,NA,NA,NA,NA,"Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"82","CPOM",NA,NA,NA,NA,NA,"Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"83","CPOM",NA,NA,NA,NA,NA,"Ondotocerum albicorne","Insecta","Trichoptera","Odontoceridae","Odontocerum","albicorne","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"84","CPOM",NA,NA,NA,NA,NA,"Ostracoda","Ostracoda","","","","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"86","CPOM",NA,NA,NA,NA,NA,"Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","exact","genus",46,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"87","CPOM",NA,NA,NA,NA,NA,"Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","exact","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"90","CPOM",NA,NA,NA,NA,NA,"Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"91","CPOM",NA,NA,NA,NA,NA,"Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","exact","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"92","CPOM",NA,NA,NA,NA,NA,"Radix peregra","Gastropoda",NA,"Lymnaeidae","Radix","peregra","exact","genus",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"93","CPOM",NA,NA,NA,NA,NA,"Caenis luctuosa","Insecta","Ephemeroptera","Caenidae","Caenis","luctuosa","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"94","CPOM",NA,NA,NA,NA,NA,"Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
