"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"413","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"420","Tanypodinae","Insecta","Diptera","Chironomidae","","","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"431","Tanypodinae","Insecta","Diptera","Chironomidae","","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"433","Tanypodinae","Insecta","Diptera","Chironomidae","","","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"437","Tanypodinae","Insecta","Diptera","Chironomidae","","","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"440","Tanypodinae","Insecta","Diptera","Chironomidae","","","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"447","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","exact","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"448","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"449","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"451","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"453","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"456","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"457","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"461","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"462","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"463","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"464","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Pedicia","Insecta","Diptera","Pediciidae","Pedicia","","genus","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"466","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"467","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"468","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","genus","exact",11,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"469","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",49,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"470","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"471","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"473","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"474","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"475","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"476","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"477","Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","genus","exact",9,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"484","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"488","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"490","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"492","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"493","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"494","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"495","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"496","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"497","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"498","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"499","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"501","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Oecetis testacea","Insecta","Trichoptera","Leptoceridae","Oecetis","testacea","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"502","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Polycelis","Rhabditophora","Tricladida","Planariidae","Polycelis","","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"504","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"505","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",51,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"506","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"508","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"509","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"510","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"512","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"513","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"514","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"515","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"521","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"522","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"526","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"527","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"531","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"532","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"533","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"534","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Pedicia","Insecta","Diptera","Pediciidae","Pedicia","","genus","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"536","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"537","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"538","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","genus","exact",11,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"539","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",49,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"540","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"541","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"543","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"544","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"545","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"546","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"547","Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","genus","exact",9,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"552","Tubificidae","Oligochaeta","Haplotaxida","Tubificidae","","","Polycelis","Rhabditophora","Tricladida","Planariidae","Polycelis","","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"554","Tubificidae","Oligochaeta","Haplotaxida","Tubificidae","","","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","exact","genus",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"557","Tubificidae","Oligochaeta","Haplotaxida","Tubificidae","","","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","exact","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"559","Tubificidae","Oligochaeta","Haplotaxida","Tubificidae","","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"561","Sericostoma personatum","Insecta","Trichoptera","Sericostomatidae","Sericostoma","personatum","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"562","Sericostoma personatum","Insecta","Trichoptera","Sericostomatidae","Sericostoma","personatum","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"563","Sericostoma personatum","Insecta","Trichoptera","Sericostomatidae","Sericostoma","personatum","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"564","Ancylus fluviatalis","Gastropoda",NA,"Planorbidae","Ancylus","fluviatalis","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",22,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"567","Limnius volckmari","Insecta","Coleoptera","Elmidae","Limnius","volckmari","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"569","Limnius volckmari","Insecta","Coleoptera","Elmidae","Limnius","volckmari","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"576","Hydracarina","Arachnida","Trombidiformes","Arrenuridae","Hydracarina","","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"577","Hydracarina","Arachnida","Trombidiformes","Arrenuridae","Hydracarina","","Hexatoma","Insecta","Diptera","Limoniidae","Hexatoma","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"582","Rhithrogena semicolorata","Insecta","Ephemeroptera","Heptageniidae","Rhithrogena","semicolorata","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"584","Rhithrogena semicolorata","Insecta","Ephemeroptera","Heptageniidae","Rhithrogena","semicolorata","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"586","Rhithrogena semicolorata","Insecta","Ephemeroptera","Heptageniidae","Rhithrogena","semicolorata","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"587","Rhithrogena semicolorata","Insecta","Ephemeroptera","Heptageniidae","Rhithrogena","semicolorata","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"588","Rhithrogena semicolorata","Insecta","Ephemeroptera","Heptageniidae","Rhithrogena","semicolorata","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"590","Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",11,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"591","Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"593","Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"596","Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"598","Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"599","Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"602","Serratella ignita","Insecta","Ephemeroptera","Ephemerellidae","Seretella","ignita","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"606","Serratella ignita","Insecta","Ephemeroptera","Ephemerellidae","Seretella","ignita","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"609","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"610","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"611","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"614","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","exact","genus",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"615","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"616","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"617","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"618","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"619","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",17,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"620","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"622","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"624","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",17,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"626","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",11,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"627","Simulium","Insecta","Diptera","Simuliidae","Simulium","","Simulium","Insecta","Diptera","Simuliidae","Simulium","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"640","Lepidostoma hirtum","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","hirtum","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",10,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
